Sentence,Important
" The head and several leaders of one of Syria's most powerful rebel groups, Jaysh al-Islam, have been killed in an air strike east of Damascus.
 ",1.0
" Founder Zahroun Alloush, 44, was among those killed when rockets hit a meeting place, rebels and the Syrian army said.
 ",1.0
" The Saudi-backed Islamist group is one of the biggest factions and is dominant in the Eastern Ghouta countryside.
 ",0.0
" It recently joined an opposition summit in Riyadh which produced a framework for peace talks with the government.
 ",0.0
" Ten rockets struck as Jaysh al-Islam commanders met, Saudi-funded al-Arabiya TV reported.
 ",1.0
" The group's deputy leader was also killed, al-Arabiya said.
 ",1.0
" Jaysh al-Islam later named Issam al-Buwaydani - who is also known as Abu Humam - as its new leader.
 ",0.0
" He is from Douma - a town to the east of Damascus.
 ",0.0
" The killing of Zahran Alloush comes days after the UN passed a resolution endorsing a path to peace in Syria.
 ",1.0
" It sends a strong message as to whom the Russians and the Syrian government are willing to sit at the negotiating table with, when and if peace talks take place.
 ",1.0
" Russia, President Assad's strong ally, has presented a list of rebel groups it identifies as terrorists.
 ",0.0
" Jaysh al-Islam was one of them.
 ",0.0
" Jaysh al-Islam controls most of the Eastern Ghouta agricultural belt on the edge of Damascus.
 ",0.0
" It succeeded in forcing so-called Islamic State out of the area, which has been under heavy bombardment from the regime since early on in the war.
 ",0.0
" In a statement carried by state television, Syria's army command said it had conducted the ""special operation"" that killed Alloush, reported AFP news agency.
 ",0.0
" However, some activists said it was a Russian air strike, while other sources suggested the Syrian air force had conducted the strike using Russian missiles.
 ",0.0
" Analysts called it a severe blow for rebel forces and a threat to the nascent efforts to find a political resolution.
 ",1.0
" Russia, a key ally of Syrian President Bashar al-Assad, has been waging an air campaign in Syria since the end of September.
 ",0.0
" Moscow insists it has been targeting so-called Islamic State, but rebels and Western officials say the Russian strikes have mainly been hitting other groups.
 ",0.0
" Jaysh al-Islam, whose fighters number tens of thousands, took part in the conference in the Saudi capital which agreed a common approach among disparate rebel groups for UN-backed peace talks planned for January.
 ",0.0
" Syria and Russia dismissed the meeting, saying the groups did not properly represent the opposition and that those that did attend were unacceptable.",0.0
" Chicago police -- under intense scrutiny in recent months over officer-involved shootings -- were involved in another on Saturday morning, an incident that left two people dead, police said.
 ",1.0
" The latest officer-involved shooting happened around 4:30 a.m. (5:30 a.m. ET) Saturday near West Garfield Park, Chicago police spokeswoman Ana Pacheco said.
 ",0.0
" In a later press release, police explained that officers had gone to the location for ""a domestic disturbance"".
 ",1.0
" ""Upon arrival, officers were confronted by a combative subject resulting in the discharging of the officer's weapon, fatally wounding two individuals,"" the police said.
 ",0.0
" The department did not identify those killed, including what (if anything) they had to do with the reported disturbance.
 ",0.0
" But a Chicago fire dispatcher reported that a 19-year-old man and 56-year-old woman were transported from the area after the shooting.
 ",0.0
" Janet Cooksey, the mother of the 19-year-old, told CNN affiliate WLS that her son died.
 ",1.0
" ""I went to the hospital; my son has seven bullet wounds in him,"" Cooksey said.
 ",0.0
" ""And that's too much"".
 ",0.0
" Cooksey added that her son had been in college studying engineering.
 ",0.0
" The shooting came two days after protests against Chicago police officers' actions -- including the killing of black teenager Laquan McDonald -- shut down parts of the so-called Magnificent Mile, a well-known high-end shopping district in the city.
 ",0.0
" ""Sixteen shots and a cover-up""!
 ",0.0
" the Christmas Eve protesters chanted.
 ",0.0
" They were referring to the fact it took 13 months before authorities released surveillance video of the 17-year-old's shooting.
 ",0.0
" Jason Van Dyke, the white Chicago police officer who killed the teenager, was charged with first-degree murder.
 ",0.0
" Van Dyke -- who has a history of complaints against him, mostly for excessive force -- has pleaded not guilty.
 ",0.0
" That case contributed to Garry McCarthy losing his job as Chicago's police superintendent and spurred calls for Mayor Rahm Emanuel to resign.
 ",0.0
" The graphic nature of the video, in which Van Dyke is shown shooting McDonald not long after arriving on the scene, didn't help, nor did the fact that this footage didn't square with other officers' accounts on the scene.
 ",1.0
" Homicides overall, not just officer-involved shootings, have been a major issue in Chicago, dealing with more homicides the past few years than even New York and Los Angeles, two more populous cities.
 ",0.0
" Emanuel acknowledged the public discontent in a speech earlier this month, saying his city needs ""a painful and honest reckoning into what went wrong"" in the McDonald case and beyond.
 ",0.0
" The mayor has already welcomed a U.S. Justice Department investigation into whether Chicago police have made a habit of violating the law.
 ",0.0
" ""We will be a better city for it,"" Emanuel said.
 ",0.0
" assistance to make the fundamental and necessary changes"".",0.0
" Five people are dead following a small plane crash in Bakersfield, California.
 ",1.0
" ""The aircraft is in a debris field ... in an almond orchard, so it's going to take a lot of footwork to conduct the investigation,"" said Sgt.
 ",0.0
" Mark King with the Kern County Sheriff's Office.
 ",0.0
" ""We do not expect to have positive identification of the passengers until Monday,"" he said.
 ",0.0
" The Federal Aviation Administration and the National Transportation Safety Board arrived at the scene of the crash Sunday morning to begin an investigation into the cause of the accident.
 ",1.0
" The sheriff's office says it received a mayday call from a single engine plane at about 4:30 p.m. Saturday.
 ",0.0
" The sheriff's office and several other agencies, including the California Highway Patrol, responded and conducted a ground search.
 ",0.0
" It took about three hours to locate the debris from the plane, according to a news release.
 ",0.0
" A single-engine Piper PA-32 disappeared off radar about 10 miles south of Bakersfield around 4 p.m. Saturday.
 ",0.0
" The plane was en route from Reid-Hillview Airport in San Jose, California, to Henderson Executive Airport, outside Las Vegas in Clark County, Nevada, according to a statement from the FAA.
 ",0.0
" The NTSB is in charge of the investigation.
 ",0.0
 It typically takes the agency months if not longer to determine a probable cause for an accident.,0.0
" That deep warm feeling on Christmas Day wasn't just from the glow of the season -- for much of the country, it was from some unusually warm temperatures outside.
 ",1.0
" After a burst of cool air last weekend, the mercury continued on its way up again over much of the East.
 ",1.0
" It's another chapter in what has been an incredibly warm December over much of the Eastern United States, a pattern that some meteorologists have coined the ""blowtorch"".
 ",1.0
" As of earlier this week, this month alone saw more than 2,600 record-high temperatures, and many more are expected before the new year.
 ",1.0
" Major metropolitan areas in the Northeast saw some of the warmest Christmas Days on record, meaning green grass rather than white snow in time for Santa's visits.
 ",0.0
" The normal high on Christmas in New York's Central Park is 41 degrees Fahrenheit.
 ",0.0
" Yet the record-high Christmas Day temperature of 64 degrees, set in 1982, was already history as of 2 a.m., and things hardly cooled down from there.
 ",0.0
" By day's end, five New York area locations -- including Central Park at 66 degrees, plus LaGuardia and Kennedy airports -- had set records.
 ",0.0
" It wasn't just New York.
 ",0.0
" From 82 degrees in Savannah, Georgia, to 79 in Norfolk, Virginia, to 68 in Philadelphia, to 62 in Portland, Maine, cities up and down the East Coast tied or smashed record high temperatures for Christmas Day.
 ",0.0
" And while the calendar says winter, these unseasonably warm temperatures are likely to stick around into next week.",1.0
" The expected evacuation of thousands of rebels from in and around Yarmouk refugee camp in southern Damascus has been put on hold, reports say.
 ",1.0
" Safety issues and the killing of a top rebel have been blamed for the delay.
 ",1.0
" Militants and their families were due to be bussed to areas under the control of their respective groups, under a deal between rebels and the government.
 ",0.0
" Meanwhile, a rebel coalition says it has captured a key dam from so-called Islamic State (IS) in northern Syria.
 ",1.0
" A spokesman for the Kurdish-Arab Syrian Democratic Forces (SDF) said fighters backed by coalition air strikes had seized the Tishrin dam, about 14 miles (22km) north of the IS stronghold of Raqqa.
 ",0.0
" The spokesman, Col Talal Selo, said the capture of the dam would help disrupt an IS supply line across the Euphrates and isolate the group between northern Aleppo and its territory east of the river.
 ",1.0
" Earlier this month, pro-government media reported a deal between the regime, IS and the rival al-Nusra Front to allow members of both safe passage out of Yarmouk and Hajar al-Aswad to Raqqa and the northern province of Idlib.
 ",1.0
" Eighteen buses which will transport rebels and their families were reported to have arrived at the camp on Friday.
 ",0.0
" However, Lebanese Hezbollah al-Manar TV said the evacuation was held up because the convoy was due to pass through territory controlled by rebel group Jaysh al-Islam, whose leader was killed in an air strike later that day.
 ",1.0
" The UK-based monitoring group Syrian Observatory for Human Rights (SOHR) said it was paused for ""logistic reasons"" in order to secure the road to IS-held Raqqa in the north-east.
 ",0.0
" About 18,000 civilians have been trapped in Yarmouk by the fighting and a government siege since 2012.
 ",1.0
" Islamic State militants took over parts of the camp earlier this year.
 ",0.0
" They were pushed back by Palestinian militias and Syrian rebels after weeks of fierce fighting, and Yarmouk has since been divided into areas controlled by IS, al-Nusra Front and pro- and anti-government Palestinian militants.
 ",1.0
" Government forces maintain checkpoints around the area, preventing civilians from leaving.
 ",0.0
" Once Yarmouk is made safe, the UN will be able to get aid to the civilians there.",1.0
" Italian authorities have taken control of a ship with 450 migrants, thought to be Syrian, that was abandoned by its crew off Italy's coast.
 ",1.0
" The Italian coastguard said it was now being towed to an Italian port after a rescue team managed to board.
 ",1.0
" The Ezadeen, sailing under the flag of Sierra Leone, lost power in rough seas overnight off the south-east of Italy.
 ",1.0
" A total of 796 migrants were rescued from another ship found abandoned without any crew earlier in the week.
 ",0.0
" Italian coast guard Cmdr Filippo Marini told reporters that the vessel was being towed by an Icelandic ship that is part of the EU Frontex border control mission.
 ",1.0
" Children and pregnant women were among the migrants, most of whom were believed to be Syrian, Mr Marini said.
 ",0.0
" He added that the 73-metre (240ft) Ezadeen was believed to have set sail from Turkey, although earlier reports suggested it was sailing from Cyprus.
 ",0.0
" The alarm was raised in a distress call from one of the migrants using the maritime radio on board, who told the Italian coastguard: ""We're without crew, we're heading toward the Italian coast and we have no-one to steer"".
 ",0.0
" The Ezadeen was built nearly 50 years ago and is a livestock carrier.
 ",0.0
" It appears to be registered to a Lebanese company and has come under the control of human traffickers.
 ",1.0
" The Ezadeen is the latest uncrewed ship full of would-be migrants to be left to drift to its fate in the Mediterranean Sea.
 ",1.0
" People-traffickers appear to be behind the phenomenon and one source with close knowledge of the rescue operations is concerned that it ""seems to be something of a new trend"".
 ",0.0
" What's changed is that Italy is no longer carrying out Operation Mare Nostrum, a search-and-rescue response to the migrants in trouble around its coastline that costs 9m euro (7m; 11m) a month.
 ",0.0
" Since November the EU's border agency Frontex has been conducting its Operation Triton over a very specific area and with limited resources.
 ",0.0
" But MEP Claude Moraes says Triton ""scares no-one"".
 ",0.0
" The operation has no weight of a sovereign justice system behind it, he adds, so people traffickers are less afraid to operate the smuggling routes.
 ",0.0
" They charge migrants thousands of dollars for the promise of a better life in Europe and show little concern for their welfare.
 ",0.0
" The first ship, the Blue Sky M, carrying 796 people, was abandoned and left on autopilot by its crew, believed to be people-traffickers.
 ",0.0
" Italian coastguards brought it under control and safely docked it at the Italian port of Gallipoli on Wednesday.
 ",0.0
" Thirty-five of the migrants, believed to be mainly Syrians and Kurds, were taken to hospital, some treated for hypothermia.
 ",0.0
" Vincent Cochetel, Europe director for UN refugee agency UNHCR, said the latest development was ""part of an ongoing and worrying situation that can no longer be ignored by European governments"".
 ",0.0
" He urged the EU to take ""urgent"" and ""concerted action"" to increase efforts to rescue people at sea, expressing concern over the phasing down of Italy's Mare Nostrum search and rescue operation.
 ",0.0
" Migrant surge   Italy has had to deal with a massive surge in migrants - many of them from the Middle East and the Horn of Africa - setting off on boats with hopes of reaching Europe.
 ",0.0
" The Blue Sky is listed as a general cargo ship, sailing under a Moldovan flag.
 ",0.0
" The safety manager of a company hired to provide safety certification for the ship told the BBC he had withdrawn its certificate several months ago after finding it unsafe.
 ",0.0
" Greek officials were first alerted to the Blue Sky when it was near Corfu after a distress call from a man on board asking for food, water and blankets.
 ",0.0
" It was reportedly heading for the port of Rijeka in Croatia from Turkey.
 ",0.0
